protocol_name,knesset_number,protocol_type,speaker_name,sentence_text
15_ptv_490845.docx,15,committee,אביגדור ליברמן,"יש מה לתרום ומה לשפר אבל קודם כל ועדה כזאת אמורה להשאיר את הנושא הזה על סדר היום גם בלי תאונות דרכים ופשוט להיות קטליזטור וזרז לכל ההליכים ולכל השיפורים בכל המוסדות ובכל הגופים שאחראים על התנועה ועל בטיחות התנועה צריך , פשוט , לא להרפות . אני חושב שוועדת הכלכלה , שעניינה תקשורת , חוזים , ועוד אלף ואחד דברים אחרים , לא תוכל לעמוד במשימה . פעם בחודשיים ? לגבי השאלה האם ועדה כזאת תקטין את תאונות הדרכים או לא תקטין ? פעם בשלושה חודשים ?"
15_ptv_490845.docx,15,committee,אביגדור ליברמן,"אני סבור שלא צריך לחכות לעוד תאונת דרכים כדי לחזור לכאן שוב לאותו דיון . כמה זמן היא יכולה להקדיש לנושא שאנחנו דנים עליו ? מכל מקום אני סבור ששווה , גם מבחינת האחריות שלנו כלפי הציבור ואגב , אם אנחנו מתלוננים על העומס שמוטל על חברי הכנסת – בואו נחוקק את החוק הנורווגי כדי שנשחרר כמה פעילים לעבודה בכנסת כך שהעומס יחולק שווה בשווה . בכנסת הקודמת היא דנה באלף ואחד נושאים . כאשר התקיים משא ומתן שהיה קשור בהרכבת הוועדות עם כינון הכנסת הזאת , דרשנו לקבל את הוועדה הזאת עוד לפני שנושא תאונות הדרכים עלה לכותרות ."
15_ptv_490845.docx,15,committee,אופיר פינס-פז,"יש לי תחושה שהכנסת צריכה לתרום את תרומתה לנושא המלחמה בתאונות הדרכים . נכון מה שחבר הכנסת זאבי אמר , וגם אני בספק אם כשתקום ועדה היא תמנע תאונות דרכים , אבל אם תקום ועדת כנסת שזה יהיה עיסוקה היחיד – אני סבור שהיא תוכל להיות הרבה יותר מעורה והרבה יותר אינטנסיבית בפיקוח שלה על משרדי הממשלה השונים שעוסקים במלחמה בתאונות הדרכים והיא גם תוכל לתרום את תרומתה במכלול ההתעסקויות בעניין הזה שהוא , באמת , בבחינת עולם ומלואו . עוד בוועדה המסדרת שהוקמה לפני ועדת הכנסת . תלוי באילו שנים . אני סבור שאם הכנסת רוצה להיות רלוונטית למה שקורה במדינת ישראל יש סעיף בתקנון שמאפשר לנו להקים ועדות מיוחדת שהן , כרגע , לא סטטוטוריות , הן מיוחדות לצורך עניין מסויים ואני ממליץ לחברי הוועדה להחליט על כינון ועדה שכזאת ."
15_ptv_490845.docx,15,committee,אופיר פינס-פז,"הרעיון היה שלי . אני מבקש להוסיף שיש היענות גבוהה מאד מצד חברי כנסת בבית הזה , שגם רוצים להיות שותפים בוועדה הזאת וגם רוצים לכהן בראשה . הוא מסכים לכך שתקום ועדה מיוחדת והוא גם מוכן לחלופה – להקים ועדת מישנה , אגב , הוא מוכן לכל מה שנחליט ובלבד שנחליט . 15 דקות , 10 דקות ו- 7 דקות . יש שנים שהיא טיפלה בנושא הזה באינטנסיביות רבה ויש שנים שהיא טיפלה בנושא הזה באינטנסיביות פחות גדולה ."
15_ptv_490845.docx,15,committee,אופיר פינס-פז,"אני לא רוצה לספר לחברי הוועדה כמה אנשים נהרגים כל שנה בתאונות דרכים או כמה נפצעים , - כולם מכירים את הנתונים בדיוק כמוני , אתם גם יודעים איזו מכה העניין הזה גורם לאין סוף בתים בעם ישראל ולחברה הישראלית . זה היה תלוי בסדר העדיפויות של יושב ראש הוועדה ואני לא מחלק בהזדמנות הזאת ציונים לאף אחד . אין פיצול ב- 7 הדקות . אדוני היושב ראש , לא הגעתי לכאן עם הצעה מגובשת מבחינת השאלה מי יהיו חברי הוועדה או מה יהיו סמכויותיה כיוון שראוי קודם כל להחליט החלטה עקרונית שמקימים או לא מקימים את הוועדה , ואז יתאפשר לי פסק זמן כדי להידבר עם החברים על מנת להביא הצעה מגובשת ליושב ראש . האם יש עם הבקשה איזושהי בעיה ?"
15_ptv_490845.docx,15,committee,יולי-יואל אדלשטיין,"זה דבר שלא מתקבל על הדעת . 1 – אני , באופן עקרוני , לא אוהב שיש ועדה , יש סמכויות , הדברים חולקו ונסגרו ופתאום מוועדה אחרת עומדים להפקיע סמכויות תוך כדי הקדנציה . זאת אומרת שפתרנו סוגייה אחת . סוגייה שנייה מתייחסת לחבר הכנסת זאבי והיא העומס המוטל על חברי הכנסת . אני סבור שהבעיה היא לא מספר הוועדות בכנסת אלא בעיה של תיאום לכן שמחתי מאד לשמוע מה שאמר יושב ראש הוועדה ."
15_ptv_490845.docx,15,committee,יולי-יואל אדלשטיין,"אני בעצמי נמצא עכשיו במצב כזה שאני צריך לצאת מכאן מיד ולרוץ לוועדה אחרת ואני מבין , כמו רובנו שיושבים כאן , עד כמה הדבר הזה לא נעים . יש עוד הרבה נושאים שאנחנו צריכים לטפל בהם . אסור שיקרה מה שקורה בישיבות , שחבר ועדה , לדוגמה , הצגתי עכשיו שאלה בוועדת העלייה והקליטה אבל לא היתה לי ברירה ולא נשארתי לשמוע את התשובה עליה כיוון שהייתי צריך להגיע לכאן . מכל מקום אם לא יעשה איזשהו תיאום – נהפוך את עצמנו לבדיחה גם בעיני המומחים וגם בעיני הציבור ועובדי הממשלה שמתייצבים לוועדות . לכן מעניין אותי מה אומר על הדבר הזה יושב ראש ועדת הכלכלה אבל שמעתי במהלך הדיון שהוא לא מתנגד ושהדברים מתואמים אתו ."
15_ptv_490845.docx,15,committee,יולי-יואל אדלשטיין,"לצערי הרב אני לא סבור שאפשר להקים ועדה ובעוד שבועיים לדווח על ירידה במספר נפגעי תאונות הדרכים יחד עם זאת יש לכנסת תפקיד . לדוגמה , בכנסת הקודמת , יושב ראש הכנסת פתח את ישיבות המליאה כל שבוע בהקראת שמות הניספים בתאונות הדרכים . כיוון שיקבלתי תשובות על שתי השאלות שהטרידו אותי והן מקובלות גם על דעת יושב ראש ועדת הכלכלה , כמו כן גם בעניין העומס שאי אפשר היה לפתור אותו – אני כן תומך בהקמת ועדה מיוחדת מטעם אחד ; בהקשר הזה של הדברים ישנן שתי שאלות ששאלתי אותן את עצמי אבל במהלך הישיבה קיבלתי עליהן תשובות ; אני לא יודע אם הדבר הזה הוריד את מספר התאונות או לא אבל יש בזה משהו שקשור לתודעה ."
15_ptv_490845.docx,15,committee,מיכאל איתן,"אין שום בעיה . מכל מקום כאשר שמעתי את דבריו הגבתי עליהם ואמרתי שאני סבור שהגישה נכונה אבל הרעיון לא טוב . משרד התחבורה , לדוגמה , כפוף לביקורת של ועדת הכלכלה והשר בא במגע עם ועדת הכלכלה . פניית יושב ראש ועדת העבודה והרווחה בדבר שינוי שם הוועדה אם באמת מתייחסים לנושא שאנחנו מדברים עליו ורוצים לתת לו שיניים , אני מציע להקים ועדה מיוחדת שתהיה ועדת מישנה , ועדה בתוך ועדת הכלכלה , כדי שיושב ראש ועדת הכלכלה יידע שהנושא בתחום אחריותו גם כן , ואותה ועדה תקבל את כל הסמכויות של ועדת הכלכלה ."
15_ptv_490845.docx,15,committee,מיכאל איתן,"לעומת זאת אם תקום ועדת מישנה – השר ישלח אליה פקיד דרג ג' וגם התקשורת לא תגיע אליה . אם כך אני אתקן את דבריי ואומר ששמעתי את הדבר הזה לראשונה מחבר הכנסת אלי גולדשמידט וכאשר הוא השמיע את הרעיון חשבתי באותה שנייה שהרעיון הוא רעיון טוב וגם הבנתי שהיתה לגביו התייחסות ייחודית , לא כמו עכשיו , אחרי שהיה גל של תאונות . תסלח לי על כך שאני קוטע את דבריך באמצע , אבל כל זמן שלא קמה ועדת מישנה , בכל מקרה העניין שאנחנו מדברים בו הוא באחריות ועדת הכלכלה . כל מה שהיה שייך לוועדת העבודה והרווחה יהיה שייך לוועדת הבריאות , העבודה והרווחה . אם זאת ועדה מיוחדת – אין לה כוח להתמודד עם העניין בצורה רצינית ואני אומר את דבריי אלה כאדם שהציעו לו זאת וגם כאדם שכן רוצה להקים ועדה מיוחדת לעניין אחר שהוא לא כל כך בסדר העדיפויות הלאומי ."
